,Alfa,Beta,Q,Taxa de Atualização,Taxa de Evaporação,Melhor Aptidão - Média,Melhor Aptidão - Desvio Padrão,Aptidão Média - Média,Aptidão Média - Desvio Padrão
52,2.5,2.5,200,0.001,0.005,24993.0,0.0,24993.0,0.0
40,2.5,1.0,200,0.001,0.005,24993.0,0.0,24993.0,0.0
36,2.5,1.0,100,0.001,0.005,24993.0,0.0,24993.0,0.0
33,1.0,5.0,500,0.001,0.5,24993.0,0.0,24993.0,0.0
37,2.5,1.0,100,0.001,0.5,24993.0,0.0,24993.0,0.0
45,2.5,1.0,500,0.001,0.5,24993.0,0.0,24993.0,0.0
41,2.5,1.0,200,0.001,0.5,24993.0,0.0,24993.0,0.0
44,2.5,1.0,500,0.001,0.005,24993.0,0.0,24993.0,0.0
29,1.0,5.0,200,0.001,0.5,24993.0,0.0,24993.0,0.0
12,1.0,2.5,100,0.001,0.005,24993.0,0.0,24993.0,0.0
13,1.0,2.5,100,0.001,0.5,24993.0,0.0,24993.0,0.0
9,1.0,1.0,500,0.001,0.5,24993.0,0.0,24993.0,0.0
8,1.0,1.0,500,0.001,0.005,24993.0,0.0,24993.0,0.0
0,1.0,1.0,100,0.001,0.005,24993.0,0.0,24993.0,0.0
1,1.0,1.0,100,0.001,0.5,24993.0,0.0,24993.0,0.0
76,5.0,1.0,200,0.001,0.005,24993.0,0.0,24993.0,0.0
77,5.0,1.0,200,0.001,0.5,24993.0,0.0,24993.0,0.0
84,5.0,2.5,100,0.001,0.005,24993.0,0.0,24993.0,0.0
85,5.0,2.5,100,0.001,0.5,24993.0,0.0,24993.0,0.0
73,5.0,1.0,100,0.001,0.5,24993.0,0.0,24993.0,0.0
72,5.0,1.0,100,0.001,0.005,24993.0,0.0,24993.0,0.0
64,2.5,5.0,200,0.001,0.005,24993.0,0.0,24993.0,0.0
65,2.5,5.0,200,0.001,0.5,24993.0,0.0,24993.0,0.0
69,2.5,5.0,500,0.001,0.5,24993.0,0.0,24993.0,0.0
68,2.5,5.0,500,0.001,0.005,24993.0,0.0,24993.0,0.0
92,5.0,2.5,500,0.001,0.005,24993.0,0.0,24993.0,0.0
93,5.0,2.5,500,0.001,0.5,24993.0,0.0,24993.0,0.0
89,5.0,2.5,200,0.001,0.5,24993.0,0.0,24993.0,0.0
88,5.0,2.5,200,0.001,0.005,24993.0,0.0,24993.0,0.0
80,5.0,1.0,500,0.001,0.005,24993.0,0.0,24993.0,0.0
81,5.0,1.0,500,0.001,0.5,24993.0,0.0,24993.0,0.0
96,5.0,5.0,100,0.001,0.005,24993.0,0.0,24993.0,0.0
97,5.0,5.0,100,0.001,0.5,24993.0,0.0,24993.0,0.0
100,5.0,5.0,200,0.001,0.005,24993.0,0.0,24993.0,0.0
101,5.0,5.0,200,0.001,0.5,24993.0,0.0,24993.0,0.0
105,5.0,5.0,500,0.001,0.5,24993.0,0.0,24993.0,0.0
104,5.0,5.0,500,0.001,0.005,24993.0,0.0,24993.0,0.0
