,Alfa,Beta,Q,Taxa de Atualização,Taxa de Evaporação,Melhor Aptidão - Média,Melhor Aptidão - Desvio Padrão,Aptidão Média - Média,Aptidão Média - Desvio Padrão
26,1.0,5.0,100,0.1,0.005,738.8,20.735,753.869,21.734
30,1.0,5.0,200,0.1,0.005,739.5,28.668,749.912,28.327
34,1.0,5.0,500,0.1,0.005,761.6,49.916,770.076,47.811
27,1.0,5.0,100,0.1,0.5,828.0,0.0,829.595,0.732
28,1.0,5.0,200,0.001,0.005,828.0,0.0,830.31,0.0
24,1.0,5.0,100,0.001,0.005,828.0,0.0,830.31,0.0
14,1.0,2.5,100,0.1,0.005,835.2,15.179,836.314,15.391
2,1.0,1.0,100,0.1,0.005,864.0,0.0,864.0,0.0
7,1.0,1.0,200,0.1,0.5,864.0,0.0,864.0,0.0
8,1.0,1.0,500,0.001,0.005,864.0,0.0,864.0,0.0
10,1.0,1.0,500,0.1,0.005,864.0,0.0,864.0,0.0
1,1.0,1.0,100,0.001,0.5,864.0,0.0,864.0,0.0
4,1.0,1.0,200,0.001,0.005,864.0,0.0,864.0,0.0
5,1.0,1.0,200,0.001,0.5,864.0,0.0,864.0,0.0
6,1.0,1.0,200,0.1,0.005,864.0,0.0,864.0,0.0
0,1.0,1.0,100,0.001,0.005,864.0,0.0,864.0,0.0
15,1.0,2.5,100,0.1,0.5,864.0,0.0,864.0,0.0
13,1.0,2.5,100,0.001,0.5,864.0,0.0,864.0,0.0
12,1.0,2.5,100,0.001,0.005,864.0,0.0,864.0,0.0
11,1.0,1.0,500,0.1,0.5,864.0,0.0,864.0,0.0
9,1.0,1.0,500,0.001,0.5,864.0,0.0,864.0,0.0
16,1.0,2.5,200,0.001,0.005,864.0,0.0,864.0,0.0
18,1.0,2.5,200,0.1,0.005,864.0,0.0,864.138,0.291
17,1.0,2.5,200,0.001,0.5,864.0,0.0,864.0,0.0
23,1.0,2.5,500,0.1,0.5,864.0,0.0,864.0,0.0
22,1.0,2.5,500,0.1,0.005,864.0,0.0,864.0,0.0
21,1.0,2.5,500,0.001,0.5,864.0,0.0,864.0,0.0
20,1.0,2.5,500,0.001,0.005,864.0,0.0,864.0,0.0
19,1.0,2.5,200,0.1,0.5,864.0,0.0,864.0,0.0
25,1.0,5.0,100,0.001,0.5,864.0,0.0,864.0,0.0
29,1.0,5.0,200,0.001,0.5,864.0,0.0,864.0,0.0
3,1.0,1.0,100,0.1,0.5,864.0,0.0,864.0,0.0
